ensemble,form,starting_class,item_id,dimensions,perturbation_trials,family_flips,family_flip_rate,posture_flips,posture_flip_rate,routing_flips,routing_flip_rate,full_archetype_flips,full_archetype_flip_rate,mean_dimension_l1,max_dimension_l1,omission_trials,omission_full_archetype_flip_rate,neutralisation_trials,neutralisation_full_archetype_flip_rate
boundaryFocused,targeted:constructivist|criticalPoliticalEconomy,pure,sc2,securityCompetition,71,12,0.169014,0,0,23,0.323944,28,0.394366,0.650563,2.5,19,0.526316,19,0.421053
boundaryFocused,targeted:constructivist|criticalPoliticalEconomy,pure,v21_df_rev_04,domesticFilters,71,16,0.225352,0,0,19,0.267606,26,0.366197,0.271268,1.23,19,0.368421,19,0.473684
boundaryFocused,targeted:constructivist|criticalPoliticalEconomy,pure,v21_in_rev_03,institutions,71,10,0.140845,0,0,13,0.183099,17,0.239437,0.220141,0.85,19,0.263158,19,0.157895
boundaryFocused,targeted:constructivist|criticalPoliticalEconomy,pure,v21_ni_rev_05,normsIdentity,72,20,0.277778,0,0,15,0.208333,29,0.402778,0.43875,1.5,19,0.473684,19,0.473684
boundaryFocused,targeted:constructivist|criticalPoliticalEconomy,pure,v21_pe_rev_02,politicalEconomy,70,14,0.2,0,0,16,0.228571,23,0.328571,0.273143,1.11,19,0.315789,19,0.368421
boundaryFocused,targeted:constructivist|criticalPoliticalEconomy,pure,v21_rs_rev_04,restraint,68,1,0.014706,8,0.117647,12,0.176471,18,0.264706,0.262794,0.63,19,0.368421,19,0.263158
boundaryFocused,targeted:constructivist|criticalPoliticalEconomy,pure,v21_sc_rev_02,securityCompetition,73,13,0.178082,0,0,15,0.205479,23,0.315068,0.590685,2.5,19,0.368421,19,0.315789
boundaryFocused,targeted:institutionalist|constructivist,blend,an_case_digital_stack,institutions|normsIdentity|politicalEconomy|restraint|securityCompetition,117,68,0.581197,9,0.076923,81,0.692308,100,0.854701,0.816496,1.36,0,0,0,0
boundaryFocused,targeted:institutionalist|constructivist,blend,an_case_intervention_memory,domesticFilters|institutions|normsIdentity|orderJustice|restraint,117,60,0.512821,8,0.068376,55,0.470085,69,0.589744,0.742564,1.7,0,0,0,0
boundaryFocused,targeted:institutionalist|constructivist,blend,an_tradeoff_tech_order,institutions|normsIdentity|orderJustice|politicalEconomy|restraint|securityCompetition,117,68,0.581197,6,0.051282,88,0.752137,100,0.854701,0.85641,1.46,0,0,0,0
boundaryFocused,targeted:institutionalist|constructivist,blend,case_semiconductors,institutions|normsIdentity|politicalEconomy|restraint|securityCompetition,117,66,0.564103,9,0.076923,86,0.735043,100,0.854701,1.085726,2.04,0,0,0,0
boundaryFocused,targeted:institutionalist|constructivist,blend,df1,domesticFilters,145,70,0.482759,0,0,95,0.655172,103,0.710345,0.60669,3,39,0.641026,39,0.820513
boundaryFocused,targeted:institutionalist|constructivist,blend,in2,institutions,147,78,0.530612,0,0,93,0.632653,104,0.707483,0.238503,0.79,39,0.589744,39,0.692308
boundaryFocused,targeted:institutionalist|constructivist,blend,ni2,normsIdentity,146,75,0.513699,0,0,107,0.732877,118,0.808219,0.350616,1.26,39,0.794872,39,0.769231
boundaryFocused,targeted:institutionalist|constructivist,blend,oj1,orderJustice,147,63,0.428571,0,0,35,0.238095,49,0.333333,0.290204,1.09,39,0.410256,39,0.410256
boundaryFocused,targeted:institutionalist|constructivist,blend,oj2,orderJustice,141,62,0.439716,0,0,46,0.326241,65,0.460993,0.311631,0.91,39,0.589744,39,0.589744
boundaryFocused,targeted:institutionalist|constructivist,blend,pe2,politicalEconomy,146,49,0.335616,0,0,46,0.315068,54,0.369863,0.354795,1.25,39,0.512821,39,0.282051
boundaryFocused,targeted:institutionalist|constructivist,blend,rs2,restraint,148,58,0.391892,14,0.094595,19,0.128378,39,0.263514,0.175,0.54,39,0.333333,39,0.307692
boundaryFocused,targeted:institutionalist|constructivist,blend,sc2,securityCompetition,146,58,0.39726,0,0,41,0.280822,57,0.390411,0.278699,0.93,39,0.461538,39,0.333333
boundaryFocused,targeted:institutionalist|constructivist,blend,tradeoff_intervention,domesticFilters|institutions|normsIdentity|orderJustice|restraint,117,54,0.461538,14,0.119658,73,0.623932,89,0.760684,0.86547,2.18,0,0,0,0
boundaryFocused,targeted:institutionalist|constructivist,blend,v21_df_rev_04,domesticFilters,143,62,0.433566,0,0,91,0.636364,97,0.678322,0.588462,3,39,0.641026,39,0.692308
