ensemble,form,form_group,starting_class,base_vectors,answer_perturbation_trials,primary_family_flip_rate,posture_flip_rate,pure_blend_transition_rate,full_archetype_flip_rate,pure_to_blend_rate,blend_to_pure_rate,median_item_influence,maximum_item_influence,maximum_influence_item,top_flip_item,top_item_flip_concentration,top_two_item_flip_concentration,top_flip_dimension,top_dimension_flip_concentration,masked_family_flip_rate,amplified_archetype_flip_rate,omission_full_archetype_flip_rate,neutralisation_full_archetype_flip_rate,direct_posture_dimension_trials,direct_posture_dimension_flip_rate,diagnostic_item_rows
calibratedSynthetic,targeted:constructivist|criticalPoliticalEconomy,targeted,pure,118,8251,0.00097,0.011393,0.002303,0.01418,0.002303,0,0.004405,0.062147,an_tradeoff_energy_alignment,an_tradeoff_energy_alignment,0.188034,0.358974,restraint,0.280556,0,0.013211,0.003632,0.009685,236,0.004237,19
calibratedSynthetic,targeted:constructivist|criticalPoliticalEconomy,targeted,blend,2,142,0.309859,0,0.288732,0.288732,0,0.288732,0.333333,0.75,ni2,ni2,0.146341,0.268293,institutions,0.24,0.197183,0.176056,0.107143,0.357143,4,0,19
calibratedSynthetic,fullExtended,full,all,160,29304,0.001536,0.00604,0.000512,0.006552,0.000273,0.000239,0,0.041667,tradeoff_strategy,tradeoff_strategy,0.104167,0.1875,restraint,0.279687,0.001433,0.00645,0.002232,0.001339,320,0.003125,136
calibratedSynthetic,fullExtended,full,pure,159,29118,0.000069,0.006079,0.000275,0.006353,0.000275,0,0,0.041929,tradeoff_strategy,tradeoff_strategy,0.108108,0.194595,restraint,0.286872,0,0.006285,0.002246,0.000898,318,0.003145,68
calibratedSynthetic,fullExtended,full,blend,1,186,0.231183,0,0.037634,0.037634,0,0.037634,0,1,an_tradeoff_rival,an_tradeoff_rival,0.428571,0.571429,normsIdentity,0.304348,0.225806,0.032258,0,0.071429,2,0,68
boundaryFocused,core,core,all,64,3315,0.315535,0.037406,0.288084,0.388235,0.144495,0.14359,0.39166650000000003,0.567901,sc2,sc2,0.107226,0.208236,securityCompetition,0.208236,0.146606,0.219306,0.476563,0.40625,128,0.15625,28
boundaryFocused,core,core,pure,29,1495,0.122408,0.04214,0.320401,0.392642,0.320401,0,0.35294800000000004,0.574074,v21_rs_rev_04,v21_rs_rev_04,0.105622,0.206133,restraint,0.206133,0,0.270234,0.396552,0.394089,58,0.258621,14
boundaryFocused,core,core,blend,35,1820,0.474176,0.033516,0.261538,0.384615,0,0.261538,0.32402200000000003,0.639098,sc2,sc2,0.121429,0.234286,securityCompetition,0.234286,0.267033,0.177473,0.542857,0.416327,70,0.071429,14
boundaryFocused,targeted:realist|institutionalist,targeted,all,64,4315,0.333256,0.042642,0.355041,0.475782,0.079258,0.275782,0.445378,0.885417,an_case_digital_stack,an_case_digital_stack,0.082806,0.151486,institutions,0.21689,0.114484,0.25701,0.473214,0.414063,128,0.039063,38
boundaryFocused,targeted:realist|institutionalist,targeted,pure,23,1561,0.13517,0.066624,0.21909,0.34337,0.21909,0,0.290698,0.869565,an_case_digital_stack,an_case_digital_stack,0.11194,0.201493,securityCompetition,0.200544,0,0.2082,0.310559,0.282609,46,0.108696,19
boundaryFocused,targeted:realist|institutionalist,targeted,blend,41,2754,0.445534,0.029049,0.432099,0.550835,0,0.432099,0.513333,0.910569,an_tradeoff_rival,an_tradeoff_rival,0.07383,0.146341,institutions,0.223881,0.179375,0.284677,0.56446,0.487805,82,0,19
boundaryFocused,targeted:realist|constructivist,targeted,all,64,4295,0.347614,0.048196,0.335041,0.468685,0.089639,0.245402,0.415966,0.8125,an_tradeoff_rival,sc2,0.07998,0.157476,securityCompetition,0.205001,0.134109,0.25518,0.446429,0.426339,128,0.0625,38
boundaryFocused,targeted:realist|constructivist,targeted,pure,20,1334,0.151424,0.054723,0.288606,0.386807,0.288606,0,0.381579,0.733333,an_case_middle_power,an_case_middle_power,0.085271,0.164729,institutions,0.203187,0,0.235382,0.364286,0.325,40,0.125,19
